RECORD ID NUMBER,INPUT ADDRESS,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,INTERPOLATED LONGITUDE AND LATITUDE,TIGERLINE ID,STATE CODE,COUNTY CODE,TRACT CODE
837634,"1908 Lake Worth Rd, Lake Worth, FL, ",Match,Exact,"1908 LAKE WORTH RD, LAKE WORTH, FL, 33461","-80.071559496306,26.616899855897",115293710,12,099,004500
837631,"2900 Broadway, Riviera Beach, FL, ",Tie,,,,,,,
1233724,"18410 Pines Blvd, Pembroke Pines, FL, ",Match,Exact,"18410 PINES BLVD, PEMBROKE PINES, FL, 33029","-80.393342932217,26.007461088619",637748835,12,011,110359
1306348,"26400 Sw 177th Ave, Homestead, FL, ",Match,Exact,"26400 SW 177TH AVE, HOMESTEAD, FL, 33031","-80.477947466112,25.521003403987",650006605,12,086,010303
899042,"19855 NW 37th Ave, Miami Gardens, FL, ",Match,Exact,"19855 NW 37TH AVE, MIAMI GARDENS, FL, 33056","-80.261969776341,25.954476620747",116053412,12,086,010012
1381654,"1960 Opa Locka Blvd, Opa Locka, FL, ",Match,Exact,"1960 OPA LOCKA BLVD, OPA LOCKA, FL, 33054","-80.232329561189,25.898221469483",116032574,12,086,000413
708877,"3339 W 80th St, Hialeah, FL, ",Match,Exact,"3339 W 80TH ST, HIALEAH, FL, 33018","-80.349643190892,25.895194581927",651140853,12,086,013100
1539797,"3905 Lake Ave, West Palm Beach, FL, ",Match,Exact,"3905 LAKE AVE, WEST PALM BEACH, FL, 33405","-80.060854366193,26.676611885504",115279461,12,099,003300
1342052,"1201 Sunset Strip, Sunrise, FL, ",Match,Exact,"1201 SUNSET STRIP, SUNRISE, FL, 33313","-80.231651136258,26.138814592053",608970525,12,011,060203
752113,"1206 S Dixie Hwy, Lake Worth, FL, ",Tie,,,,,,,
1215044,"6590 Pembroke Rd, Miramar, FL, ",Match,Exact,"6590 PEMBROKE RD, MIRAMAR, FL, 33023","-80.219092492183,25.995125809171",637769493,12,011,091500
825638,"837 W Sample Rd, Pompano Beach, FL, ",Match,Exact,"837 W SAMPLE RD, POMPANO BEACH, FL, 33064","-80.134769166372,26.275012224908",640938929,12,011,010405
591240,"1641 NE 8th St, Homestead, FL, ",Match,Exact,"1641 NE 8TH ST, HOMESTEAD, FL, 33033","-80.454373038276,25.477414046806",642892083,12,086,011011
1370984,"1209 Lake Ave, Lake Worth Beach, FL, ",Match,Exact,"1209 LAKE AVE, LAKE WORTH BEACH, FL, 33460","-80.060451987682,26.61593850895",115294036,12,099,005101
838950,"1206 S Dixie Hwy, Lake Worth, FL, ",Tie,,,,,,,
825642,"6785 Taft St, Hollywood, FL, ",Match,Exact,"6785 TAFT ST, HOLLYWOOD, FL, 33024","-80.223777400933,26.024546137955",114715985,12,011,090700
825643,"6033 W Sunrise Blvd, Plantation, FL, ",Match,Exact,"6033 W SUNRISE BLVD, PLANTATION, FL, 33313","-80.230327525265,26.135935518495",637266910,12,011,060203
503550,"5360 W 16th Ave, Hialeah, FL, ",Match,Exact,"5360 W 16TH AVE, HIALEAH, FL, 33012","-80.315087166505,25.871534427314",115956048,12,086,009314
825647,"680 W Hallandale Beach Blvd, Hallandale Beach, FL, ",Match,Exact,"680 W HALLANDALE BEACH BLVD, HALLANDALE BEACH, FL, 33009","-80.15590143775,25.985455693693",114736099,12,011,100400
1305024,"8970 W State Road 84, Davie, FL, ",Match,Non_Exact,"8970 STATE HWY 84, DAVIE, FL, 33324","-80.26856121654,26.103112102677",608972682,12,011,070212
409479,"20705 NW 2nd Ave, Miami, FL, ",Match,Exact,"20705 NW 2ND AVE, MIAMI, FL, 33169","-80.205850943123,25.965658071907",116028897,12,086,009809
838942,"3147 Forest Hill Blvd, West Palm Beach, FL, ",Match,Exact,"3147 FOREST HILL BLVD, WEST PALM BEACH, FL, 33406","-80.090597817039,26.651031376452",115273473,12,099,004101
838946,"4935 Southern Blvd, West Palm Beach, FL, ",Match,Exact,"4935 SOUTHERN BLVD, WEST PALM BEACH, FL, 33415","-80.119111618888,26.678720495959",641550492,12,099,003202
838947,"5335 N Military Trl Ste 22, West Palm Beach, FL, ",Match,Exact,"5335 N MILITARY TRL, WEST PALM BEACH, FL, 33407","-80.108806902286,26.758713533462",630032450,12,099,001921
1564706,"4201 NW 167th St, Miami Gardens, FL, ",Match,Exact,"4201 NW 167TH ST, MIAMI GARDENS, FL, 33055","-80.268758565021,25.925883129915",116027214,12,086,010022
825627,"18328 NW 7th Ave, Miami, FL, ",Match,Exact,"18328 NW 7TH AVE, MIAMI, FL, 33169","-80.213269179312,25.942534836915",116029755,12,086,009905
917414,"10692 Fontainebleau Blvd, Miami, FL, ",Match,Non_Exact,"10692 FOUNTAINBLEAU BLVD, MIAMI, FL, 33172","-80.369393246009,25.775521983126",115969953,12,086,009029
634926,"1233 S Military Trl, West Palm Beach, FL, ",Match,Exact,"1233 S MILITARY TRL, WEST PALM BEACH, FL, 33415","-80.112745278746,26.658850444159",646913024,12,099,004009
1150874,"4780 Okeechobee Blvd, West Palm Beach, FL, ",Match,Exact,"4780 OKEECHOBEE BLVD, WEST PALM BEACH, FL, 33417","-80.115732289256,26.706876818453",651263813,12,099,003102
352058,"7534 Lake Worth Rd, Lake Worth, FL, ",Match,Exact,"7534 LAKE WORTH RD, LAKE WORTH, FL, 33467","-80.165510103266,26.617456190281",115282835,12,099,004810
1564703,"900 E 49th St, Hialeah, FL, ",Match,Exact,"900 E 49TH ST, HIALEAH, FL, 33013","-80.265159288511,25.867297754223",115998062,12,086,000611
1618257,"13480 W Dixie Hwy, North Miami, FL, ",Match,Exact,"13480 W DIXIE HWY, NORTH MIAMI, FL, 33161","-80.179031743497,25.899593481285",116034362,12,086,000220
655868,"2435 Biscayne Blvd, Miami, FL, ",Match,Exact,"2435 BISCAYNE BLVD, MIAMI, FL, 33137","-80.189056453912,25.800655945028",116017892,12,086,002708
825631,"6830 Miramar Pkwy, Miramar, FL, ",Match,Exact,"6830 MIRAMAR PKWY, MIRAMAR, FL, 33023","-80.223949780998,25.981904513003",637815728,12,011,110502
1008242,"1256 Palm Beach Lakes Blvd, West Palm Beach, FL, ",Match,Exact,"1256 PALM BEACH LAKES BLVD, WEST PALM BEACH, FL, 33401","-80.065597039977,26.724666216493",115278165,12,099,002100
825632,"11002 NW 7th Ave, Miami, FL, ",Match,Exact,"11002 NW 7TH AVE, MIAMI, FL, 33168","-80.210260301419,25.875598788883",116056259,12,086,000411
1442279,"101 Blue Heron Blvd, Riviera Beach, FL, ",Tie,,,,,,,
1594591,"401 NW 27th Ave, Pompano Beach, FL, ",Match,Exact,"401 NW 27TH AVE, POMPANO BEACH, FL, 33069","-80.159478973469,26.234810587046",114694047,12,011,030602
1447963,"1160 SW 6th St, Miami, FL, ",Match,Exact,"1160 SW 6TH ST, MIAMI, FL, 33130","-80.213820691646,25.767672299814",116016864,12,086,005306
1253312,"15000 SW 56th St, Miami, FL, ",Match,Exact,"15000 SW 56TH ST, MIAMI, FL, 33185","-80.436878825042,25.713655856286",116061979,12,086,016700
825634,"745 NW 119th St, Miami, FL, ",Match,Exact,"745 NW 119TH ST, MIAMI, FL, 33168","-80.211503003098,25.88375897974",116033597,12,086,000410
825635,"21329 NW 2nd Ave, Miami, FL, ",Match,Exact,"21329 NW 2ND AVE, MIAMI, FL, 33169","-80.205995972247,25.970790542006",639371730,12,086,009809
754737,"2537 SW 37th Ave, Miami, FL, ",Match,Exact,"2537 SW 37TH AVE, MIAMI, FL, 33133","-80.254317812572,25.744160772094",116014238,12,086,007004
1498712,"10600 NW 19th St, Doral, FL, ",Match,Exact,"10600 NW 19TH ST, DORAL, FL, 33172","-80.368846571168,25.791582420443",116260191,12,086,009010
523151,"1155 NW 11th St, Miami, FL, ",Match,Exact,"1155 NW 11TH ST, MIAMI, FL, 33136","-80.213131381652,25.784035607174",116016084,12,086,003001
1594587,"3167 Northlake Blvd, West Palm Beach, FL, ",Match,Exact,"3167 NORTHLAKE BLVD, WEST PALM BEACH, FL, 33403","-80.0845591703,26.808403592679",645852577,12,099,000903
1586968,"2990 W Broward Blvd, Fort Lauderdale, FL, ",Match,Exact,"2990 W BROWARD BLVD, FORT LAUDERDALE, FL, 33312","-80.18418979565,26.121256427047",114710189,12,011,042801
1657844,"6460 Pines Blvd, Pembroke Pines, FL, ",No_Match,,,,,,,
1586969,"18330 Pines Blvd, Pembroke Pines, FL, ",Match,Exact,"18330 PINES BLVD, PEMBROKE PINES, FL, 33029","-80.386984182753,26.007489962942",637748964,12,011,110326
614433,"3695 W Flagler St, Miami, FL, ",Match,Exact,"3695 W FLAGLER ST, MIAMI, FL, 33135","-80.254910425704,25.771894611144",116253936,12,086,005505
429059,"1405 NW 27th Ave, Ft Lauderdale, FL, ",Match,Exact,"1405 NW 27TH AVE, FT LAUDERDALE, FL, 33311","-80.178630580479,26.143177601453",114720197,12,011,041100
469952,"901 N Federal Hwy, Hollywood, FL, ",Match,Exact,"901 N FEDERAL HWY, HOLLYWOOD, FL, 33020","-80.143165070056,26.018998546142",114730642,12,011,090304
1171789,"968 SW 8th St, Miami, FL, ",Tie,,,,,,,
825623,"1621A NW 49th Ave, Lauderhill, FL, ",Match,Non_Exact,"1621A NW 49TH AVE, LAUDERHILL, FL, 33313","-80.21500018937,26.145666415675",114708098,12,011,060401
1008234,"1136 Royal Palm Beach Blvd, Royal Palm Beach, FL, ",Match,Exact,"1136 ROYAL PALM BEACH BLVD, ROYAL PALM BEACH, FL, 33411","-80.22913546122,26.706768318941",115507990,12,099,007841
825625,"8241 Sunset Strip, Sunrise, FL, ",Match,Exact,"8241 SUNSET STRIP, SUNRISE, FL, 33322","-80.255655321055,26.153017514739",114703638,12,011,060207
1274222,"4191 W Indiantown Rd, Jupiter, FL, ",No_Match,,,,,,,
1573659,"6659 Lake Worth Rd, Lake Worth, FL, ",Match,Exact,"6659 LAKE WORTH RD, LAKE WORTH, FL, 33467","-80.149062965393,26.618132131333",646792642,12,099,004817
756587,"3595 SW 22nd St, Miami, FL, ",Match,Exact,"3595 SW 22ND ST, MIAMI, FL, 33145","-80.251934360873,25.750019071409",116014217,12,086,006302
1270706,"801 NW 79th St, Miami, FL, ",Match,Exact,"801 NW 79TH ST, MIAMI, FL, 33150","-80.211253908813,25.847042315502",116004465,12,086,001008
1367381,"18450 Sw 97th Ave, Cutler Bay, FL, ",Match,Exact,"18450 SW 97TH AVE, CUTLER BAY, FL, 33157","-80.34817598736,25.598260985289",115995319,12,086,008208
Record_ID,"Store_Street_Address, City, State, ",No_Match,,,,,,,
331934,"4050 Hallandale Beach Blvd, Pembroke Park, FL, ",Match,Non_Exact,"4050 W HALLANDALE BEACH BLVD, PEMBROKE PARK, FL, 33023","-80.183785960561,25.984343594932",637819498,12,011,100600
1624033,"1300 NW 2nd Ave, Boca Raton, FL, ",Match,Exact,"1300 NW 2ND AVE, BOCA RATON, FL, 33432","-80.090048879663,26.362026188761",115302962,12,099,007205
1253370,"960 Sw 87th Ave, Miami, FL, ",Match,Exact,"960 SW 87TH AVE, MIAMI, FL, 33174","-80.336173610069,25.760189054175",653216421,12,086,008908
250051,"4700 S Flamingo Rd, Cooper City, FL, ",Match,Exact,"4700 S FLAMINGO RD, COOPER CITY, FL, 33330","-80.313250253439,26.063251162626",640126525,12,011,070401
1359757,"4140 N State Road 7, Lauderdale Lakes, FL, ",Match,Non_Exact,"4140 STATE HWY 7, LAUDERDALE LAKES, FL, 33319","-80.203284626782,26.176833547858",638007646,12,011,050301
1164660,"55 NW 119th St, Miami, FL, ",Match,Exact,"55 NW 119TH ST, MIAMI, FL, 33168","-80.199661514406,25.884289472489",116034063,12,086,000308
1422641,"217 N Federal Hwy, Boynton Beach, FL, ",Match,Exact,"217 N FEDERAL HWY, BOYNTON BEACH, FL, 33435","-80.058183540866,26.528146010944",115296362,12,099,006100
1574938,"636 SW 6th Ave, Homestead, FL, ",Tie,,,,,,,
1064376,"1290 W 68th St, Hialeah, FL, ",Match,Exact,"1290 W 68TH ST, HIALEAH, FL, 33014","-80.309788564446,25.88410092177",116024934,12,086,009323
909818,"800 State Rd 7, Wellington, FL, ",Match,Non_Exact,"800 N STATE RD 7, WELLINGTON, FL, 33411","-80.201629328845,26.690297151279",115265956,12,099,007818
909817,"10701 NW 41st St, Doral, FL, ",Match,Exact,"10701 NW 41ST ST, DORAL, FL, 33178","-80.369434950851,25.811711016171",116259047,12,086,009039
1264015,"1671 Forum Pl, West Palm Beach, FL, ",Match,Exact,"1671 FORUM PL, WEST PALM BEACH, FL, 33401","-80.0831380276,26.726209827189",115271741,12,099,001802
1129420,"1377 S Dixie Hwy, Deerfield Beach, FL, ",Match,Exact,"1377 S DIXIE HWY, DEERFIELD BEACH, FL, 33441","-80.106803650815,26.300057644442",114742064,12,011,010304
520029,"18485 S Dixie Hwy, Cutler Bay, FL, ",Match,Non_Exact,"18485 DIXIE HWY, CUTLER BAY, FL, 33157","-80.354617431518,25.597495780636",115995247,12,086,008208
1342093,"7375 Miami Lakes Dr, Miami Lakes, FL, ",Match,Exact,"7375 MIAMI LAKES DR, MIAMI LAKES, FL, 33014","-80.318962516295,25.910159936981",116247213,12,086,009319
1187301,"1425 E Commercial Blvd, Oakland Park, FL, ",Match,Exact,"1425 E COMMERCIAL BLVD, OAKLAND PARK, FL, 33334","-80.127831158428,26.189133401974",637110518,12,011,050601
962013,"208 N Federal Hwy, Deerfield Beach, FL, ",Match,Exact,"208 N FEDERAL HWY, DEERFIELD BEACH, FL, 33441","-80.090547471863,26.320855301348",646611471,12,011,010103
1220433,"401 W Boynton Beach Blvd, Boynton Beach, FL, ",Match,Exact,"401 W BOYNTON BEACH BLVD, BOYNTON BEACH, FL, 33435","-80.06830937406,26.528983415953",115295998,12,099,006100
1549952,"949 S Main St, Belle Glade, FL, ",Match,Exact,"949 S MAIN ST, BELLE GLADE, FL, 33430","-80.670283701116,26.674762052138",646775701,12,099,008203
1164675,"14201 NW 57th Ave, Miami, FL, ",No_Match,,,,,,,
1306315,"7000 Pga Blvd, Palm Beach Gardens, FL, ",Match,Exact,"7000 PGA BLVD, PALM BEACH GARDENS, FL, 33418","-80.130992617491,26.838948162472",115564962,12,099,007830
1421309,"2000 Collins Ave, Miami Beach, FL, ",Match,Exact,"2000 COLLINS AVE, MIAMI BEACH, FL, 33139","-80.129153624382,25.795680256687",116020403,12,086,004206
859002,"3063 Northlake Blvd, Palm Beach Gardens, FL, ",Match,Exact,"3063 NORTHLAKE BLVD, PALM BEACH GARDENS, FL, 33403","-80.083283247301,26.808365346318",115323400,12,099,000903
894208,"2061 N University Dr, Coral Springs, FL, ",Match,Exact,"2061 N UNIVERSITY DR, CORAL SPRINGS, FL, 33071","-80.250831138271,26.256700543319",114691286,12,011,020315
1253357,"12075 S Dixie Hwy, Miami, FL, ",Match,Exact,"12075 S DIXIE HWY, MIAMI, FL, 33156","-80.327347315215,25.658257207863",116258804,12,086,008102
767225,"12801 W SUNRISE BLVD, SUNRISE, FL, ",Match,Exact,"12801 W SUNRISE BLVD, SUNRISE, FL, 33323","-80.323889848565,26.14490851313",637259439,12,011,060120
1253358,"20191 Old Cutler Rd, Cutler Bay, FL, ",Match,Non_Exact,"20191 W OLD CUTLER RD, CUTLER BAY, FL, 33189","-80.333091779503,25.579467234975",115996722,12,086,010604
767227,"5800 S University Dr, Davie, FL, ",Match,Exact,"5800 S UNIVERSITY DR, DAVIE, FL, 33328","-80.251583153088,26.048418823807",640909961,12,011,070602
1380347,"764 NW 29th St, Miami, FL, ",Match,Exact,"764 NW 29TH ST, MIAMI, FL, 33127","-80.208612788522,25.803445719222",116015929,12,086,002502
1327220,"12480 NW 7th Ave, North Miami, FL, ",Match,Exact,"12480 NW 7TH AVE, NORTH MIAMI, FL, 33168","-80.210902837256,25.888974943131",116033468,12,086,000410
497120,"13300 SW 288th St, Homestead, FL, ",Match,Exact,"13300 SW 288TH ST, HOMESTEAD, FL, 33033","-80.405128305699,25.499664257566",655976328,12,086,010705
894214,"9569 Westview Dr, Coral Springs, FL, ",Match,Exact,"9569 WESTVIEW DR, CORAL SPRINGS, FL, 33076","-80.251730293586,26.298174181583",641073135,12,011,010603
1277372,"2050 Belvedere Rd, West Palm Beach, FL, ",Match,Exact,"2050 BELVEDERE RD, WEST PALM BEACH, FL, 33406","-80.079310014058,26.690949956929",115353810,12,099,980500
1113037,"10044 Griffin Rd, Cooper City, FL, ",Match,Exact,"10044 GRIFFIN RD, COOPER CITY, FL, 33328","-80.283904669524,26.063925262278",647865514,12,011,070402
894212,"2236 N Congress Ave, Boynton Beach, FL, ",Match,Exact,"2236 N CONGRESS AVE, BOYNTON BEACH, FL, 33426","-80.090616458355,26.547949530108",652507098,12,099,005821
1163330,"15006 Ne 6th Ave, Miami, FL, ",Match,Exact,"15006 NE 6TH AVE, MIAMI, FL, 33161","-80.187587058905,25.913140334792",647816530,12,086,000310
909843,"200 Biscayne Blvd, Miami, FL, ",Tie,,,,,,,
736970,"608 N US Highway 1, Tequesta, FL, ",Match,Exact,"608 N US HWY 1, TEQUESTA, FL, 33469","-80.086151021862,26.966603560735",632590292,12,099,000102
340853,"1400 B GLADES ROAD, BOCA RATON, FL, ",Match,Non_Exact,"1400 GLADES RD, BOCA RATON, FL, 33431","-80.114635028177,26.367482144499",638633047,12,099,007619
814116,"12141 Pembroke Rd, Pembroke Pines, FL, ",Match,Exact,"12141 PEMBROKE RD, PEMBROKE PINES, FL, 33025","-80.308447506538,25.993343518185",636927356,12,011,110353
777485,"5310 N State Road 7, Fort Lauderdale, FL, ",Match,Non_Exact,"5310 STATE HWY 7, FORT LAUDERDALE, FL, 33319","-80.203522968492,26.190458801126",636815826,12,011,050208
1539724,"4137 N Dixie Hwy, Oakland Park, FL, ",Match,Exact,"4137 N DIXIE HWY, OAKLAND PARK, FL, 33334","-80.134314508661,26.177733197634",114719685,12,011,050702
1366097,"12630 Sw 8th St, Miami, FL, ",Match,Exact,"12630 SW 8TH ST, MIAMI, FL, 33184","-80.400096505129,25.760914394478",116089119,12,086,014702
1252083,"8224 Griffin Rd, Davie, FL, ",Match,Exact,"8224 GRIFFIN RD, DAVIE, FL, 33328","-80.256847999213,26.064347310974",637513527,12,011,070602
1526409,"2188 W Atlantic Ave, Delray Beach, FL, ",Match,Exact,"2188 W ATLANTIC AVE, DELRAY BEACH, FL, 33445","-80.095450790648,26.459483311729",115494728,12,099,006907
560912,"3187 S Congress Ave, Palm Springs, FL, ",Match,Exact,"3187 S CONGRESS AVE, PALM SPRINGS, FL, 33461","-80.08876067284,26.628813368349",115533229,12,099,004601
1152636,"16701 NW 42nd Ave, Miami Gardens, FL, ",Match,Exact,"16701 NW 42ND AVE, MIAMI GARDENS, FL, 33055","-80.268633342162,25.925887761951",116027213,12,086,010021
1235507,"1669 Collins Ave, Miami Beach, FL, ",Match,Exact,"1669 COLLINS AVE, MIAMI BEACH, FL, 33139","-80.129899731403,25.790785790219",116020547,12,086,004206
883528,"10930 W. Flagler St, Sweetwater, FL, ",No_Match,,,,,,,
909853,"11721 S Dixie Hwy, Miami, FL, ",Match,Exact,"11721 S DIXIE HWY, MIAMI, FL, 33156","-80.325258191567,25.662746493053",115984918,12,086,008102
638430,"9510 SW 160th St, Miami, FL, ",Match,Exact,"9510 SW 160TH ST, MIAMI, FL, 33157","-80.34684855173,25.619553648636",115983527,12,086,008311
1164622,"6400 S Dixie Hwy, West Palm Beach, FL, ",Match,Exact,"6400 S DIXIE HWY, WEST PALM BEACH, FL, 33405","-80.05584849506,26.65795425262",115280653,12,099,003600
975367,"3825 W Hillsboro Blvd, Deerfield Beach, FL, ",Tie,,,,,,,
